1679,Walking,1370520469556,0.2941316,-0.6356053,-0.22693644;
1679,Walking,1370520469606,-0.49968776,-0.6044512,-0.22602014;
1679,Walking,1370520469656,-2.1783454,0.7134906,0.37201694;
1679,Walking,1370520469706,-2.7977629,1.3548992,-0.27763826;
1679,Walking,1370520469756,-2.1679606,-1.3277156,-0.5549711;
1679,Walking,1370520469806,-1.7348573,0.8185594,-0.16554448;
1679,Walking,1370520469856,-1.4639386,0.8359691,0.4111123;
1679,Walking,1370520469906,-0.9450085,1.0852021,0.39522982;
1603,LyingDown,1372738800910,-0.008857546,-0.0036651916,0.006414085;
1603,LyingDown,1372738800960,-0.0030543262,-0.0125227375,0.007941248;
1603,LyingDown,1372738801010,-0.006414085,-0.008857546,0.009162978;
1603,LyingDown,1372738801060,-0.0030543262,-0.004886922,0.009468411;
1603,LyingDown,1372738801110,-0.0018325958,-0.00580322,0.012217305;
1603,LyingDown,1372738801160,-0.004276057,-0.009468411,0.0070249503;
1603,LyingDown,1372738801210,-0.0027488936,-0.0018325958,0.008857546;
1603,LyingDown,1372738801260,-0.003970624,-0.017104227,0.005497787;
1603,LyingDown,1372738801310,-0.01038471,-0.004886922,0.0106901415;
1603,LyingDown,1372738801360,-0.003970624,-0.0030543262,0.004581489;
1603,LyingDown,1372738801410,-0.0076358155,-0.0106901415,0.016187929;
1603,LyingDown,1372738801460,-0.0012217305,-0.0061086523,0.008857546;
1603,LyingDown,1372738801510,-0.008857546,-0.009468411,0.007941248;
615,Standing,1200001349500,1.42,8.89,-1.23;
615,Standing,1200001349550,1.42,8.85,-1.23;
615,Standing,1200001349600,1.57,8.81,-1.38;
615,Standing,1200001349650,1.5,8.89,-1.18;
615,Standing,1200001349700,1.57,8.85,-1.33;
615,Standing,1200001349750,1.57,8.85,-1.31;
615,Standing,1200001349800,1.65,8.73,-1.23;
615,Standing,1200001349850,1.38,8.89,-1.5;
615,Standing,1200001349900,1.23,8.92,-1.46;
615,Standing,1200001349950,1.42,8.89,-1.42;
663,Jogging,1200000563200,2.03,7.78,4.6;
663,Jogging,1200000563250,-3.64,19.15,8.5;
663,Jogging,1200000563300,5.18,-4.94,-16.82;
663,Jogging,1200000563350,6.36,14.25,-7.7;
663,Jogging,1200000563400,-15.66,19.57,0.42;
663,Jogging,1200000563450,7.27,13.99,5.75;
663,Jogging,1200000563500,-16.97,6.59,18.7;
663,Jogging,1200000563550,-9.04,3.21,5.71;
663,Jogging,1200000563600,0.89,10.76,-2.6;
663,Jogging,1200000563650,-6.74,19.57,0.53;
663,Jogging,1200000563700,2.34,19.57,-10.38;
663,Jogging,1200000563750,-2.87,1.23,-12.87;
1676,Sitting,1370366793360,-0.020240024,-0.039414786,-0.037284255;
1676,Sitting,1370366793410,-0.020240024,-0.040480047,-0.03834952;
1676,Sitting,1370366793460,-0.02130529,-0.03834952,-0.03834952;
1676,Sitting,1370366793510,-0.02130529,-0.03621899,-0.039414786;
1676,Sitting,1370366793560,-0.02130529,-0.035153728,-0.039414786;
1676,Sitting,1370366793610,-0.020240024,-0.03834952,-0.039414786;
1676,Sitting,1370366793660,-0.01917476,-0.035153728,-0.037284255;
1676,Sitting,1370366793710,-0.02130529,-0.039414786,-0.041545313;
